scenario,estimated_latency_ms_per_token,estimated_tokens_per_second,speedup_vs_current,replacements,head_dimension_changed_from_current_128_to_target_64,estimate_note
current,4762.4,0.2099781622711238,1.0,,False,Measured operator-budget baseline
QK_only,4229.186670769231,0.23645208354402428,1.1260794026700611,QK logits=40.687ms,True,Uses measured randomized-stall v0.1 QK latency
QK_plus_quantized_V_storage,3548.4146707692307,0.28181599186749456,1.3421204796697561,QK logits=40.687ms; attention-weighted V=354.228ms,True,Only the measured position-dependent PV portion scales with 256B/34B traffic
QK_plus_quantized_V_equal128_sensitivity,3646.526670769231,0.27423356258876647,1.3060099184727412,QK logits=40.687ms; attention-weighted V=452.340ms,False,"Equal-dimension V sensitivity uses 256B/66B, not the target64 ratio"
QK_plus_V_accumulation,3245.045009230769,0.30816213554986954,1.4675913543426986,QK logits=40.687ms; attention-weighted V=50.858ms,True,"V accumulation is analytical, based on QK work plus 25% margin"
full_attention_path,2647.645009230769,0.3776941381920887,1.798730563726003,QK logits=40.687ms; softmax=20.000ms; attention-weighted V=50.858ms,True,"Softmax and V accumulation are analytical targets, not RTL measurements"
full_attention_plus_known_system_fixes,1870.1450092307691,0.5347178935666179,2.546540496321661,QK logits=40.687ms; softmax=20.000ms; attention-weighted V=50.858ms; paging/cache movement=352.200ms; normalization/quantization=21.400ms,True,Adds repository-measured paging/no-flush and fabric-normalizer results
