axi_width,context_len,total_cycles,issue,reader_launch,axi_ar,axi_r_empty,axi_r_transfer,beat_handoff,mac,result,other,transaction_control_cycles,non_mac_cycles,cycles_per_key,latency_us,mac_utilization,mkeys_per_second,effective_k_bandwidth_mb_s,measurement_kind
128,512,7379,512,1024,1022,1124,625,512,2048,512,0,2558,5331,14.412109375,90.81846153846153,0.27754438270768395,5.63762027374983,180.40384875999456,RTL simulation with deterministic randomized stalls
128,4096,59256,4096,8192,8203,9101,5088,4096,16384,4096,0,20491,42872,14.466796875,729.3046153846154,0.276495207236398,5.616308896989334,179.7218847036587,RTL simulation with deterministic randomized stalls
256,512,6620,512,1024,990,1022,512,0,2048,512,0,2526,4572,12.9296875,81.47692307692307,0.3093655589123867,6.283987915407855,201.08761329305136,RTL simulation with deterministic randomized stalls
256,4096,53252,4096,8192,8198,8190,4096,0,16384,4096,0,20486,36868,13.0009765625,655.4092307692308,0.30766919552317284,6.249530534064449,199.98497709006236,RTL simulation with deterministic randomized stalls
